BDID	EGID	TAXID	SYMBOL	DESCRIPTION	HOMOLOGENE
1460409_at	12894	10090	Cpt1a	carnitine palmitoyltransferase 1a, liver	1413
1422509_at	108121	10090	U2af1	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1	14345
1460577_at	57748	10090	Jmy	junction-mediating and regulatory protein	10955
1448670_at	22193	10090	Ube2e3	ubiquitin-conjugating enzyme E2E 3	4636
1423582_at	50796	10090	Dmrt1	doublesex and mab-3 related transcription factor 1	9280
1435279_at	230676	10090	Szt2	seizure threshold 2	49413
1431226_a_at	64339	10090	Fndc4	fibronectin type III domain containing 4	49716
1435242_at	100710	10090	Pds5b	PDS5 cohesin associated factor B	41001
1448880_at	100040961	10090	Gm10145	predicted gene 10145	133056
1448880_at	545578	10090	Gm5858	predicted gene 5858	131699
1448880_at	22195	10090	Ube2l3	ubiquitin-conjugating enzyme E2L 3	43226
1448880_at	100502680	10090	Gm10015	predicted gene 10015	138713
1448880_at	100042355	10090	Gm10705	predicted gene 10705	138801
1416052_at	19139	10090	Prps1	phosphoribosyl pyrophosphate synthetase 1	68275
1438530_at	21788	10090	Tfpi	tissue factor pathway inhibitor	4579
1437436_s_at	26385	10090	Grk6	G protein-coupled receptor kinase 6	37570
1428565_at	74154	10090	Unkl	unkempt family like zinc finger	62673
1437401_at	16000	10090	Igf1	insulin-like growth factor 1	515
1452266_at	76130	10090	Las1l	LAS1-like (S. cerevisiae)	32746
1447602_x_at	72043	10090	Sulf2	sulfatase 2	10313
1460205_at	68087	10090	Dcakd	dephospho-CoA kinase domain containing	5652
1426858_at	16324	10090	Inhbb	inhibin beta-B	1654
1449099_at	80877	10090	Lrba	LPS-responsive beige-like anchor	36205
1421389_a_at	27103	10090	Eif2ak4	eukaryotic translation initiation factor 2 alpha kinase 4	40891
1437067_at	68770	10090	Phtf2	putative homeodomain transcription factor 2	10713
1426538_a_at	22059	10090	Trp53	transformation related protein 53	460
1448503_at	17210	10090	Mcl1	myeloid cell leukemia sequence 1	7413
1451269_at	72621	10090	Pdzd11	PDZ domain containing 11	9530
1438172_x_at	71151	10090	Eri2	exoribonuclease 2	12383
1433735_a_at	100201	10090	Tmem64	transmembrane protein 64	45636
1437709_x_at	234875	10090	Ttc13	tetratricopeptide repeat domain 13	11569
1455634_at	20658	10090	Son	Son DNA binding protein	10551
1434170_at	245404	10090	Dcaf12l1	DDB1 and CUL4 associated factor 12-like 1	135953
1431094_at	76286	10090	1110006E14Rik	RIKEN cDNA 1110006E14 gene	-
